index,X,Y,Z,formation
24,522005.95124403,7508998.02949473,560.0,Weeli_Wolli_Formation
25,524456.68974623,7509487.55955939,599.0,Weeli_Wolli_Formation
26,528658.28024117,7510422.63934068,664.0,Weeli_Wolli_Formation
27,532641.34688511,7511793.76199431,628.0,Weeli_Wolli_Formation
28,534344.7700695,7512432.71786348,703.0,Weeli_Wolli_Formation
29,537981.21323065,7511781.517565599,640.0,Weeli_Wolli_Formation
30,515780.9613589103,7509739.889473747,562.0,Wittenoom_Formation
31,520343.94052664,7510754.50172674,622.0,Wittenoom_Formation
32,522835.0200552533,7511572.344107556,568.0,Wittenoom_Formation
33,522852.3463801091,7511582.4541240465,568.0,Wittenoom_Formation
34,523243.70470521,7511810.81409958,598.0,Wittenoom_Formation
35,525245.89078991,7513907.06973636,609.0,Wittenoom_Formation
36,526541.70046453,7517513.58040743,624.0,Wittenoom_Formation
37,527168.02810085,7518874.12957606,619.0,Wittenoom_Formation
38,526736.17133459,7519608.140634799,618.0,Wittenoom_Formation
39,527556.78819597,7520709.68960374,636.0,Wittenoom_Formation
40,528158.6298356468,7521086.430736203,573.0,Wittenoom_Formation
41,528621.0676306413,7520971.53857848,594.0,Wittenoom_Formation
42,531184.70163067,7520213.25095723,602.0,Wittenoom_Formation
43,531908.4908818289,7520287.769630329,595.0,Wittenoom_Formation
44,532174.0686764172,7520064.326625752,595.0,Wittenoom_Formation
45,533967.78170362,7520124.74835486,611.0,Wittenoom_Formation
46,534681.91066016,7521156.26056762,628.0,Wittenoom_Formation
47,542420.3623627814,7521273.574077862,683.0,Wittenoom_Formation
48,543039.41922454,7521209.20921065,663.0,Wittenoom_Formation
49,548286.7300184887,7521273.574077862,633.0,Wittenoom_Formation
50,550471.34029969,7519410.6682838,686.0,Wittenoom_Formation
51,552137.58105841,7517321.11811441,655.0,Wittenoom_Formation
52,552005.32053958,7516316.12023383,664.0,Wittenoom_Formation
53,550048.0987868,7514861.13023338,645.0,Wittenoom_Formation
54,547799.99984816,7513935.62943566,622.0,Wittenoom_Formation
55,546647.5624028842,7512676.54185883,619.0,Wittenoom_Formation
56,546631.1332037331,7512665.050680517,627.0,Wittenoom_Formation
57,546213.10177981,7511581.63929355,645.0,Wittenoom_Formation
58,546082.6082970671,7511385.907606197,645.0,Wittenoom_Formation
59,546071.5082771338,7511369.25830245,645.0,Wittenoom_Formation
60,544626.18030774,7509862.65090161,642.0,Wittenoom_Formation
61,543197.85999545,7506291.65104444,609.0,Wittenoom_Formation
