X,Y,Z,azimuth,dip,polarity,formation
554304.93348599,7496947.32598323,572.0,168.0,35,1,Jeerinah_Formation
545557.03288211,7494696.21808249,520.0,362.0,15,1,Jeerinah_Formation
562663.9448064,7506741.50979555,807.0,430.0,11,1,Bunjinah_Formation
544921.82941261,7514333.36252441,838.0,440.0,35,1,Mount_McRae_Shale_and_Mount_Sylvia_Formation
544708.19918899,7514108.86119291,936.0,400.0,33,1,Mount_McRae_Shale_and_Mount_Sylvia_Formation
547332.06601078,7516113.86829699,832.0,127.0,28,1,Mount_McRae_Shale_and_Mount_Sylvia_Formation
547704.52567933,7513884.34170986,622.0,365.0,34,1,Wittenoom_Formation
554929.61134409,7515160.85629446,632.0,150.0,15,1,Jeerinah_Formation
548756.28656105,7517165.36829682,651.0,172.0,25,1,Mount_McRae_Shale_and_Mount_Sylvia_Formation
552049.0524020001,7487780.78569838,566.0,390.0,28,1,Boolgeeda_Iron_Formation
547640.63848022,7513734.467746001,671.0,184.0,34,1,Marra_Mamba_Iron_Formation
538617.61984384,7511806.72349882,661.0,191.0,9,1,Brockman_Iron_Formation
538806.02756515,7483993.09306394,492.0,370.0,63,1,Hardey_Formation
548578.04664895,7517242.93275268,653.0,174.0,25,1,Mount_McRae_Shale_and_Mount_Sylvia_Formation
562613.59447835,7506579.00298373,826.0,250.0,11,1,Bunjinah_Formation
535859.02692715,7512398.30549352,665.0,201.0,32,1,Brockman_Iron_Formation
542344.84155478,7481763.35785815,465.0,365.0,60,1,Hardey_Formation
552049.0524020001,7487780.78569838,566.0,390.0,80,1,Boolgeeda_Iron_Formation
545003.74120558,7476258.34758436,482.0,435.0,35,1,Hardey_Formation
547242.81740116,7516046.24923983,862.0,305.0,28,1,Wittenoom_Formation
552075.59216311,7487793.53622728,566.0,390.0,28,1,Boolgeeda_Iron_Formation
536729.5649795999,7516597.33613236,713.0,348.0,25,1,Brockman_Iron_Formation
546137.8575609,7494606.69912057,532.0,360.0,15,1,Jeerinah_Formation
540038.91207275,7506751.82918475,654.0,338.0,28,1,Brockman_Iron_Formation
529955.11858467,7517212.37448649,660.0,211.0,24,1,Mount_McRae_Shale_and_Mount_Sylvia_Formation
537101.10259263,7516513.64798743,713.0,388.0,19,1,Brockman_Iron_Formation
552075.59216311,7487793.53622728,566.0,390.0,80,1,Boolgeeda_Iron_Formation
521796.72185923,7509376.56236277,597.0,181.0,52,1,Brockman_Iron_Formation
553087.89226931,7484583.49215226,516.0,420.0,64,1,Marra_Mamba_Iron_Formation
544671.5774674,7513917.04057533,812.0,219.0,33,1,Mount_McRae_Shale_and_Mount_Sylvia_Formation
539933.7822252,7483374.35640366,472.0,385.0,60,1,Hardey_Formation
521993.39933415,7508834.9892679,550.0,171.0,60,1,Weeli_Wolli_Formation
542660.06207832,7481786.83007108,469.0,388.0,60,1,Hardey_Formation
544608.89803516,7514084.37259684,812.0,442.0,35,1,Mount_McRae_Shale_and_Mount_Sylvia_Formation
553113.25097797,7484612.18583151,516.0,240.0,64,1,Marra_Mamba_Iron_Formation
544512.13000453,7514096.8288444,936.0,405.0,26,1,Mount_McRae_Shale_and_Mount_Sylvia_Formation
529219.05316166,7512991.48314111,652.0,230.0,24,1,Mount_McRae_Shale_and_Mount_Sylvia_Formation
536789.57090088,7516217.95425832,719.0,200.0,54,1,Brockman_Iron_Formation
537020.13400936,7516172.571558501,719.0,181.0,24,1,Brockman_Iron_Formation
559881.96804876,7490671.20867738,582.0,185.0,50,1,Boolgeeda_Iron_Formation
533937.3265810466,7476404.903035125,413.0,369.3765251776307,19,1,Rocklea_Inlier_metagranitic_unit
542009.7993570467,7518127.605963392,738.0,524.9213814355301,1,1,Brockman_Iron_Formation
542400.0156553431,7516679.251296696,732.0,704.92138143553,1,1,Brockman_Iron_Formation
539002.9227054811,7516849.335139927,756.0,505.41097701050455,1,1,Brockman_Iron_Formation
539854.4517565889,7515614.467424292,694.0,685.4109770105043,1,1,Brockman_Iron_Formation
526741.8505289167,7507201.891681332,559.0,528.7225917579666,15,1,Turee_Creek_Group
527035.1897370833,7505730.853915349,555.0,708.7225917579666,15,1,Turee_Creek_Group
522190.157339188,7506320.6929681925,535.0,529.3977787216321,27,1,Turee_Creek_Group
522466.1415254719,7504846.300642886,528.0,709.3977787216321,27,1,Turee_Creek_Group
517811.93840665603,7505502.833320676,514.0,529.4397965787639,33,1,Turee_Creek_Group
518086.84127328405,7504028.238998865,512.0,709.4397965787639,33,1,Turee_Creek_Group
552716.685917467,7504594.753341875,545.0,123.63780976438359,1,1,Bunjinah_Formation
551467.8521070732,7505425.664958124,548.0,303.63780976438363,1,1,Bunjinah_Formation
541781.2786855048,7514519.41708718,868.0,206.0719785819289,3,1,Brockman_Iron_Formation
541122.0288017553,7513172.0531457085,709.0,386.0719785819289,3,1,Brockman_Iron_Formation
538817.7483400619,7515669.568259824,706.0,193.26646641365218,0,1,Brockman_Iron_Formation
538473.5281541082,7514209.598238356,693.0,373.2664664136522,0,1,Brockman_Iron_Formation
536618.8364886608,7516136.306885635,773.0,190.64485161790643,1,1,Brockman_Iron_Formation
536341.7553723193,7514662.120311635,688.0,370.64485161790634,1,1,Brockman_Iron_Formation
534651.1539453255,7516548.871973087,777.0,193.1928789599466,1,1,Brockman_Iron_Formation
534308.8091455547,7515088.461058972,752.0,373.1928789599466,1,1,Brockman_Iron_Formation
539978.049360485,7509933.1756467,639.0,252.49545603619092,4.053720737739852,1,Weeli_Wolli_Formation
540506.896457065,7508121.414860615,644.0,289.4341331363009,4.351839860533532,1,Weeli_Wolli_Formation
537637.2802041951,7505846.915162302,623.0,349.4643928974439,11.737538552961125,1,Weeli_Wolli_Formation
