X,Y,Z,formation
530852.97018496,7503491.10155774,597.,Fault_3498
530456.14134542,7503904.60914794,585.,Fault_3498
530330.9386297,7504034.60013126,579.,Fault_3498
530175.96563729,7504196.10320143,580.,Fault_3498
546577.26028642,7487345.218131,604.,Fault_5993
546330.89916801,7487696.71611354,647.,Fault_5993
545786.33648171,7488183.69574817,707.,Fault_5993
545121.01555681,7488689.69202183,829.,Fault_5993
544468.14585069,7489139.17979174,839.,Fault_5993
543986.25772977,7489440.68256884,864.,Fault_5993
543574.24616962,7489729.16950817,843.,Fault_5993
543213.11273092,7490017.65350314,754.,Fault_5993
543048.60760173,7490190.6702777,672.,Fault_5993
542727.29424758,7490582.4116606,615.,Fault_5993
542565.71418112,7490765.15239289,620.,Fault_5993
542391.50118632,7491085.14929234,584.,Fault_5993
542259.79017825,7491461.14896476,589.,Fault_5993
542203.4287173,7491646.14739406,566.,Fault_5993
542059.95467557,7492226.13697903,543.,Fault_5993
541941.92443907,7492825.14518688,522.,Fault_5993
541963.19163038,7493283.13978594,560.,Fault_5993
517946.07183157,7488467.89860577,573.,Fault_7099
519045.7715252,7487029.9059683,636.,Fault_7099
519197.2705782,7486806.42248787,623.,Fault_7099
520303.71612472,7485450.93468321,584.,Fault_7099
521784.48057864,7483902.93974874,471.,Fault_7099
522018.43933063,7483621.42923093,491.,Fault_7099
522322.30888126,7483333.43952939,424.,Fault_7099
521416.13576964,7482669.93442657,449.,Fault_10762
521112.01975077,7482919.9202763,459.,Fault_10762
520941.17862752,7483098.93134079,477.,Fault_10762
519643.77940677,7484410.92145333,495.,Fault_10762
519428.37901419,7484590.40797662,509.,Fault_10762
518845.53649929,7485045.40687333,517.,Fault_10762
517828.8937892,7485749.40160572,706.,Fault_10762
517634.90008478,7485898.40060792,692.,Fault_10762
517463.63754301,7486001.39047198,705.,Fault_10762
516284.11357896,7486694.87455682,606.,Fault_10762
515687.3100586407,7486940.339990976,559.,Fault_10762
520343.17884566,7501712.97896174,546.,Fault_12647
521600.978795,7500716.47986228,604.,Fault_12647
522066.44076737,7500347.99055952,547.,Fault_12647
522262.58927234,7500072.48211218,552.,Fault_12647
523291.23883935,7498627.49077638,500.,Fault_12647
523430.9410852,7498430.97971338,491.,Fault_12647
524119.3216712,7497642.51516716,501.,Fault_12647
524494.08762163,7496605.00666576,491.,Fault_12647
524724.62548089,7495307.98749757,497.,Fault_12647
525272.35781248,7494039.49961675,499.,Fault_12647
525704.70504445,7493463.00413042,492.,Fault_12647
526223.55235006,7492598.51350424,495.,Fault_12647
526718.59949805,7491736.49932416,448.,Fault_12647
527174.81999884,7490782.51162547,487.,Fault_12647
527680.86720332,7490012.50910418,484.,Fault_12647
528289.45943397,7489080.52081917,428.,Fault_12647
528731.3410245,7488476.02152234,445.,Fault_12647
528891.78911586,7488198.02104718,434.,Fault_12647
529097.5478162,7487841.02214759,444.,Fault_12647
529422.97116457,7487328.51025387,435.,Fault_12647
529486.57355708,7487228.24070015,429.,Fault_12647
529610.7180335,7487032.52178932,442.,Fault_12647
529682.6185648,7486919.51543206,443.,Fault_12647
530172.61399777,7486401.02906034,420.,Fault_12647
530691.43430111,7485795.52823793,439.,Fault_12647
546639.32683299,7512670.78252025,619.,Fault_12658
547057.7754359,7512183.62565854,635.,Fault_12658
547482.99167866,7511755.15088418,612.,Fault_12658
547514.27067336,7511723.63079608,612.,Fault_12658
547817.78003248,7511359.13963683,597.,Fault_12658
547988.05819589,7511059.14206046,579.,Fault_12658
548241.14158319,7510796.6291774,576.,Fault_12658
548272.14054764,7510624.62928941,577.,Fault_12658
548653.86104331,7509880.75526473,564.,Fault_12658
548691.03702359,7509786.30969332,565.,Fault_12658
548901.39199359,7509041.56628439,558.,Fault_12658
548978.50085605,7508211.38333105,543.,Fault_12658
548948.53390282,7507152.60603048,535.,Fault_12658
548779.6855026,7504205.42359491,528.,Fault_12658
548696.4036478,7503089.56673039,522.,Fault_12658
548667.18383825,7502259.71665453,526.,Fault_12658
548771.48288559,7501629.77815787,521.,Fault_12658
549125.65918336,7501291.06209152,514.,Fault_12658
549221.86553991,7501199.0512453,514.,Fault_12658
550309.22222005,7500537.29586449,528.,Fault_12658
551263.63206693,7499875.89151242,537.,Fault_12658
551387.97248765,7499780.9937221,533.,Fault_12658
551979.20552504,7499329.72864007,540.,Fault_12658
552615.42349018,7498898.28016168,543.,Fault_12658
552794.04956652,7498772.5523466,545.,Fault_12658
515687.3100586407,7509754.226525011,562.,Fault_12660
515762.92112246,7509734.92977995,562.,Fault_12660
516050.24149141,7509647.43350568,563.,Fault_12660
517524.07836862,7509517.96063803,582.,Fault_12660
517746.86032914,7509496.4685744,580.,Fault_12660
518067.74922615,7509452.46925718,579.,Fault_12660
518912.77772736,7509330.46926409,623.,Fault_12660
519307.44022161,7509273.48997862,604.,Fault_12660
520543.73483977,7509095.01279117,645.,Fault_12660
521090.55123523,7509073.01052396,594.,Fault_12660
515687.3100586407,7504448.31322444,502.,Fault_14378
515694.68618334,7504430.43027069,502.,Fault_14378
515738.88476599,7504353.4403226,502.,Fault_14378
516394.71281388,7503210.94009311,506.,Fault_14378
516559.52884586,7502992.44223246,505.,Fault_14378
516863.05789255,7502589.94232609,508.,Fault_14378
516965.38096195,7502458.64066976,508.,Fault_14378
516985.40934179,7502432.9397205,508.,Fault_14378
517381.03036753,7501996.4504586,522.,Fault_14378
517439.45226521,7501894.93914092,522.,Fault_14378
517626.97828778,7501568.43814849,520.,Fault_14378
517873.43954899,7501235.94113834,520.,Fault_14378
517978.50258812,7501117.44098539,520.,Fault_14378
518524.9442624,7500500.44191141,529.,Fault_14378
518815.13140255,7500008.94937101,526.,Fault_14378
518839.30872175,7499930.93991049,526.,Fault_14378
518912.27037857,7499695.46061321,524.,Fault_14378
518959.73934571,7499542.45116102,524.,Fault_14378
519006.42959692,7499391.45138507,533.,Fault_14378
519103.09158567,7499079.93851591,515.,Fault_14378
519142.37342451,7498952.95056238,515.,Fault_14378
519198.90885568,7498812.44902131,518.,Fault_14378
519252.20101763,7498679.95235482,518.,Fault_14378
519335.66180724,7498472.43955491,542.,Fault_14378
519782.08844692,7497413.44831201,499.,Fault_14378
520002.38850294,7496934.94194691,506.,Fault_14378
520209.10836453,7496271.9499226,519.,Fault_14378
520631.03544852,7495403.9455309,506.,Fault_14378
522459.5291779,7512088.52096737,567.,Fault_16769
521710.48995991,7512392.00833866,579.,Fault_16769
521012.04004505,7512605.49964379,582.,Fault_16769
520338.62871925,7512761.99234245,608.,Fault_16769
519646.4217734,7512962.96949212,578.,Fault_16769
518845.84951117,7513113.96025417,568.,Fault_16769
518852.32142054,7513132.95880111,568.,Fault_16769
518681.60040596,7513163.46024486,587.,Fault_16769
517568.77865671,7513362.4408889,555.,Fault_16769
516323.22553533,7513547.42216704,553.,Fault_16769
